Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
stop2b1000_neutralino300,AE,1,0.872,0.21100000000000002,0.09699999999999999,0.047
monojet_Zp2000.0_DM_50.0,AE,1,0.7240000000000001,0.106,0.045,0.015
monotop_200_A,AE,1,0.7140000000000001,0.13,0.077,0.037000000000000005
glgl1400_neutralino1100,AE,1,0.79,0.15,0.083,0.043
stlp_st1000,AE,1,0.968,0.703,0.525,0.314
sqsq_sq1800_neut800,AE,1,0.903,0.337,0.156,0.046
sqsq1_sq1400_neut800,AE,1,0.853,0.21,0.102,0.052000000000000005
glgl1600_neutralino800,AE,1,0.856,0.21600000000000003,0.102,0.045
chaneut_cha200_neut50,AE,2a,0.474053,0.022522999999999998,0.0,0.0
pp24mt_50,AE,2a,0.578228,0.044168,0.008992,0.0031739999999999997
pp23mt_50,AE,2a,0.50522,0.029958999999999996,0.011364,0.0051649999999999995
chaneut_cha300_neut100,AE,2a,0.6069359999999999,0.016077,0.006431,0.0
gluino_1000.0_neutralino_1.0,AE,2a,0.7332310000000001,0.062439999999999996,0.018004,0.006321
chaneut_cha250_neut150,AE,2a,0.49169399999999996,0.013274000000000001,0.004425,0.0
chaneut_cha400_neut200,AE,2a,0.608436,0.047222,0.002778,0.0
stlp_st1000,AE,2b,0.996,0.907,0.688,0.396
chacha_cha400_neut60,AE,2b,0.669,0.06,0.018000000000000002,0.002
chaneut_cha200_neut50,AE,2b,0.593,0.049,0.018000000000000002,0.004
pp24mt_50,AE,2b,0.63,0.083,0.031,0.009000000000000001
pp23mt_50,AE,2b,0.495,0.036000000000000004,0.012,0.003
chacha_cha600_neut200,AE,2b,0.727,0.086,0.03,0.004
gluino_1000.0_neutralino_1.0,AE,2b,0.9940000000000001,0.828,0.395,0.129
chaneut_cha250_neut150,AE,2b,0.57,0.042,0.01,0.004
chacha_cha300_neut140,AE,2b,0.5529999999999999,0.032,0.009000000000000001,0.002
monojet_Zp2000.0_DM_50.0,AE,3,0.799,0.095,0.036000000000000004,0.008
stop2b1000_neutralino300,AE,3,0.932,0.354,0.145,0.05
gluino_1000.0_neutralino_1.0,AE,3,0.9790000000000001,0.578,0.203,0.07200000000000001
monotop_200_A,AE,3,0.772,0.122,0.055,0.019
glgl1400_neutralino1100,AE,3,0.878,0.22,0.095,0.039
sqsq_sq1800_neut800,AE,3,0.9009999999999999,0.35100000000000003,0.14800000000000002,0.031
stlp_st1000,AE,3,0.9690000000000001,0.711,0.525,0.299
glgl1600_neutralino800,AE,3,0.919,0.314,0.153,0.048
sqsq1_sq1400_neut800,AE,3,0.919,0.33799999999999997,0.14300000000000002,0.046
monoV_Zp2000.0_DM_1.0,AE,3,0.7809999999999999,0.081,0.03,0.006999999999999999
