Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
glgl1400_neutralino1100,CNN_BVAE,1,0.539283677643581,0.011933797909408,0.00043554006968599997,0.000217770034843
glgl1600_neutralino800,CNN_BVAE,1,0.540947193855183,0.011803135888501999,0.00043554006968599997,0.000217770034843
stlp_st1000,CNN_BVAE,1,0.541293627214029,0.011716027874565,0.00047909407665499995,0.00021777003484320557
monotop_200_A,CNN_BVAE,1,0.538721195038836,0.010932055749128998,0.00043554006968599997,0.000217770034843
stop2b1000_neutralino300,CNN_BVAE,1,0.5373294885340599,0.011324041811847,0.00047909407665499995,0.000217770034843
sqsq_sq1800_neut800,CNN_BVAE,1,0.540000527543999,0.011411149825783997,0.00043554006968599997,0.000217770034843
sqsq1_sq1400_neut800,CNN_BVAE,1,0.54018362812974,0.011628919860627,0.00047909407665499995,0.000217770034843
monojet_Zp2000.0_DM_50.0,CNN_BVAE,1,0.540218038280385,0.011411149825783997,0.00047909407665499995,0.000217770034843
chaneut_cha200_neut50,CNN_BVAE,2a,0.5012766341433421,0.015700483091788002,0.001207729468599,0.0
chaneut_cha250_neut150,CNN_BVAE,2a,0.498055598894729,0.013285024154588999,0.0018115942028989998,0.0006038647343
chaneut_cha300_neut100,CNN_BVAE,2a,0.498531026270949,0.015096618357488,0.001207729468599,0.0
chaneut_cha400_neut200,CNN_BVAE,2a,0.501217721788596,0.009661835748792,0.0006038647343,0.0006038647343
gluino_1000.0_neutralino_1.0,CNN_BVAE,2a,0.5005189321100321,0.01268115942029,0.0018115942028989998,0.0
pp23mt_50,CNN_BVAE,2a,0.499616833927373,0.018115942028986,0.001207729468599,0.0006038647343
pp24mt_50,CNN_BVAE,2a,0.499310175746131,0.009661835748792,0.0,0.0
chacha_cha300_neut140,CNN_BVAE,2b,0.481627965775306,0.004353233830845999,0.000621890547264,0.0
chacha_cha400_neut60,CNN_BVAE,2b,0.482584738837419,0.004353233830845999,0.000621890547264,0.0
chacha_cha600_neut200,CNN_BVAE,2b,0.48549383492795706,0.00393864013267,0.000621890547264,0.0
chaneut_cha200_neut50,CNN_BVAE,2b,0.48103511623434203,0.004145936981758,0.000621890547264,0.0
chaneut_cha250_neut150,CNN_BVAE,2b,0.48476775405287803,0.004353233830845999,0.000621890547264,0.0
gluino_1000.0_neutralino_1.0,CNN_BVAE,2b,0.48125933278515504,0.003731343283582,0.000414593698176,0.0
pp23mt_50,CNN_BVAE,2b,0.48261488725726,0.004145936981758,0.000621890547264,0.0
pp24mt_50,CNN_BVAE,2b,0.484343209624668,0.004145936981758,0.000414593698176,0.0
stlp_st1000,CNN_BVAE,2b,0.48347554997283704,0.00393864013267,0.000414593698176,0.0
glgl1400_neutralino1100,CNN_BVAE,3,0.547104521673387,0.009043778801843,0.000864055299539,2.88e-05
glgl1600_neutralino800,CNN_BVAE,3,0.547127877160138,0.009029377880184,0.000864055299539,2.88e-05
gluino_1000.0_neutralino_1.0,CNN_BVAE,3,0.547124159679219,0.009043778801843,0.000864055299539,2.88e-05
monoV_Zp2000.0_DM_1.0,CNN_BVAE,3,0.54714282359771,0.009029377880184,0.000864055299539,2.88e-05
monojet_Zp2000.0_DM_50.0,CNN_BVAE,3,0.5471289790421591,0.009029377880184,0.000864055299539,2.88e-05
monotop_200_A,CNN_BVAE,3,0.547106083606351,0.009043778801843,0.000864055299539,2.88e-05
sqsq1_sq1400_neut800,CNN_BVAE,3,0.5471062747245821,0.009043778801843,0.000864055299539,2.88e-05
sqsq_sq1800_neut800,CNN_BVAE,3,0.547128197256625,0.009043778801843,0.000864055299539,2.88e-05
stlp_st1000,CNN_BVAE,3,0.5471154646412371,0.009029377880184,0.000864055299539,2.88e-05
stop2b1000_neutralino300,CNN_BVAE,3,0.547126179007956,0.009043778801843,0.000864055299539,2.88018433179723e-05
