Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
glgl1400_neutralino1100,CNN_VAE,1,0.532345747110103,0.012674216027875,0.00043554006968599997,0.00021777003484299998
glgl1600_neutralino800,CNN_VAE,1,0.531730544238041,0.012456445993031,0.00043554006968599997,0.00021777003484299998
stlp_st1000,CNN_VAE,1,0.531592999351848,0.012674216027875,0.00039198606271800005,0.00021777003484299998
monotop_200_A,CNN_VAE,1,0.531525836113301,0.012587108013937,0.00039198606271800005,0.00021777003484299998
stop2b1000_neutralino300,CNN_VAE,1,0.532588133087076,0.012891986062718002,0.00039198606271800005,0.00021777003484299998
sqsq_sq1800_neut800,CNN_VAE,1,0.532784268585526,0.013066202090592,0.00039198606271800005,0.00021777003484299998
sqsq1_sq1400_neut800,CNN_VAE,1,0.5327414222298621,0.013153310104529999,0.00047909407665499995,0.00021777003484299998
monojet_Zp2000.0_DM_50.0,CNN_VAE,1,0.5329785967290711,0.013022648083624,0.00043554006968599997,0.00021777003484299998
chaneut_cha200_neut50,CNN_VAE,2a,0.46502322091101506,0.015700483091788002,0.003623188405797,0.0
chaneut_cha250_neut150,CNN_VAE,2a,0.468373812624015,0.015700483091788002,0.003623188405797,0.0
chaneut_cha300_neut100,CNN_VAE,2a,0.47050718761325205,0.015700483091788002,0.003623188405797,0.0
chaneut_cha400_neut200,CNN_VAE,2a,0.47282514388940794,0.015700483091788002,0.003623188405797,0.0
gluino_1000.0_neutralino_1.0,CNN_VAE,2a,0.47236268263815,0.015096618357488,0.003623188405797,0.0
pp23mt_50,CNN_VAE,2a,0.46700118682271896,0.015096618357488,0.003623188405797,0.0
pp24mt_50,CNN_VAE,2a,0.47870138459688594,0.015700483091788002,0.003623188405797,0.0
chacha_cha300_neut140,CNN_VAE,2b,0.47796948764589203,0.005389718076285001,0.000207296849088,0.0
chacha_cha400_neut60,CNN_VAE,2b,0.479281198170711,0.005182421227197,0.0,0.0
chacha_cha600_neut200,CNN_VAE,2b,0.47991067075238103,0.004560530679934,0.0,0.0
chaneut_cha200_neut50,CNN_VAE,2b,0.47862642210344297,0.005182421227197,0.0,0.0
chaneut_cha250_neut150,CNN_VAE,2b,0.4772695649735471,0.004767827529022,0.0,0.0
gluino_1000.0_neutralino_1.0,CNN_VAE,2b,0.474608462629753,0.005182421227197,0.0,0.0
pp23mt_50,CNN_VAE,2b,0.475940473141366,0.005182421227197,0.0,0.0
pp24mt_50,CNN_VAE,2b,0.477703389828455,0.004767827529022,0.0,0.0
stlp_st1000,CNN_VAE,2b,0.480226340894561,0.004767827529022,0.0,0.0
glgl1400_neutralino1100,CNN_VAE,3,0.534236208570349,0.010167050691244,0.00046082949308800007,0.0
glgl1600_neutralino800,CNN_VAE,3,0.5349850227714571,0.010224654377879998,0.000331221198157,0.0
gluino_1000.0_neutralino_1.0,CNN_VAE,3,0.533176215055264,0.009634216589862,0.000360023041475,0.0
monoV_Zp2000.0_DM_1.0,CNN_VAE,3,0.533603412361391,0.010656682027650001,0.000360023041475,0.0
monojet_Zp2000.0_DM_50.0,CNN_VAE,3,0.533875895800331,0.009922235023041001,0.000388824884793,0.0
monotop_200_A,CNN_VAE,3,0.532210578548027,0.009677419354839,0.000374423963134,0.0
sqsq1_sq1400_neut800,CNN_VAE,3,0.533978993848106,0.009562211981566999,0.000446428571429,0.0
sqsq_sq1800_neut800,CNN_VAE,3,0.534780263505364,0.009706221198157,0.00034562211981599997,0.0
stlp_st1000,CNN_VAE,3,0.5343182044030821,0.010239055299539,0.000417626728111,0.0
stop2b1000_neutralino300,CNN_VAE,3,0.53447719875072,0.009807027649770001,0.00028801843318,0.0
