Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
stop2b1000_neutralino300,Combined-AND-DeepSVDD_MSE-Flow,1,0.95,0.67,0.43,0.27
stop2b1000_neutralino300,Combined-OR-DeepSVDD_MSE-Flow,1,0.98,0.65,0.05,0.01
stop2b1000_neutralino300,Combined-PROD-DeepSVDD_MSE-Flow,1,0.17,0.15,0.08,0.0
stop2b1000_neutralino300,Combined-AVG-DeepSVDD_MSE-Flow,1,0.98,0.77,0.48,0.24
glgl1400_neutralino1100,Combined-AND-DeepSVDD_MSE-Flow,1,0.77,0.22,0.08,0.04
glgl1400_neutralino1100,Combined-OR-DeepSVDD_MSE-Flow,1,0.9,0.35,0.01,0.0
glgl1400_neutralino1100,Combined-PROD-DeepSVDD_MSE-Flow,1,0.12,0.03,0.02,0.0
glgl1400_neutralino1100,Combined-AVG-DeepSVDD_MSE-Flow,1,0.87,0.26,0.11,0.04
monojet_Zp2000.0_DM_50.0,Combined-AND-DeepSVDD_MSE-Flow,1,0.82,0.33,0.16,0.09
monojet_Zp2000.0_DM_50.0,Combined-OR-DeepSVDD_MSE-Flow,1,0.95,0.5,0.0,0.0
monojet_Zp2000.0_DM_50.0,Combined-PROD-DeepSVDD_MSE-Flow,1,0.09,0.05,0.02,0.0
monojet_Zp2000.0_DM_50.0,Combined-AVG-DeepSVDD_MSE-Flow,1,0.91,0.39,0.19,0.1
glgl1600_neutralino800,Combined-AND-DeepSVDD_MSE-Flow,1,0.93,0.62,0.35,0.2
glgl1600_neutralino800,Combined-OR-DeepSVDD_MSE-Flow,1,0.97,0.52,0.02,0.0
glgl1600_neutralino800,Combined-PROD-DeepSVDD_MSE-Flow,1,0.16,0.13,0.06,0.0
glgl1600_neutralino800,Combined-AVG-DeepSVDD_MSE-Flow,1,0.97,0.72,0.45,0.21
monotop_200_A,Combined-AND-DeepSVDD_MSE-Flow,1,0.83,0.32,0.14,0.07
monotop_200_A,Combined-OR-DeepSVDD_MSE-Flow,1,0.96,0.59,0.01,0.0
monotop_200_A,Combined-PROD-DeepSVDD_MSE-Flow,1,0.08,0.04,0.03,0.0
monotop_200_A,Combined-AVG-DeepSVDD_MSE-Flow,1,0.93,0.38,0.16,0.07
stlp_st1000,Combined-AND-DeepSVDD_MSE-Flow,1,0.99,0.93,0.82,0.69
stlp_st1000,Combined-OR-DeepSVDD_MSE-Flow,1,1.0,0.92,0.43,0.18
stlp_st1000,Combined-PROD-DeepSVDD_MSE-Flow,1,0.65,0.64,0.51,0.08
stlp_st1000,Combined-AVG-DeepSVDD_MSE-Flow,1,1.0,0.98,0.92,0.78
