Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
stop2b1000_neutralino300,DAGMM_20_1e-07_5000_0.01_0.01_50_10_8,1,0.6272762486441219,0.049223778871639534,0.007762211283604695,0.000946611132146914
glgl1400_neutralino1100,DAGMM_20_1e-07_5000_0.01_0.01_50_10_8,1,0.5826768166734266,0.00830078125,0.003173828125,0.00146484375
monojet_Zp2000.0_DM_50.0,DAGMM_20_1e-07_5000_0.01_0.01_50_10_8,1,0.6391842161475194,0.002654867256637168,0.001769911504424779,0.0
glgl1600_neutralino800,DAGMM_20_1e-07_5000_0.01_0.01_50_10_8,1,0.6935418874203916,0.0101348210134821,0.004927940492794049,0.0010227801022780103
monotop_200_A,DAGMM_20_1e-07_5000_0.01_0.01_50_10_8,1,0.5752162826699321,0.021505376344086027,0.0006325110689437065,0.0
stlp_st1000,DAGMM_20_1e-07_5000_0.01_0.01_50_10_8,1,0.6149308827999798,0.3269209134885814,0.04961187985150186,0.0004499943750703116
sqsq_sq1800_neut800,DAGMM_20_1e-07_5000_0.01_0.01_50_10_8,1,0.7681035989129715,0.004961020552799433,0.0010630758327427356,0.0
sqsq1_sq1400_neut800,DAGMM_20_1e-07_5000_0.01_0.01_50_10_8,1,0.5837218537196512,0.052785210411092194,0.009973242520068109,0.0019459985405010946
stop2b1000_neutralino300,DAGMM_20_1e-07_1000_0.01_0.01_100_15_4,1,0.6176852026847393,0.04770920106020447,0.007762211283604695,0.0020825444907232107
glgl1400_neutralino1100,DAGMM_20_1e-07_1000_0.01_0.01_100_15_4,1,0.5676561955160284,0.0087890625,0.001953125,0.00146484375
monojet_Zp2000.0_DM_50.0,DAGMM_20_1e-07_1000_0.01_0.01_100_15_4,1,0.6064211453977466,0.002654867256637168,0.0008849557522123895,0.0
glgl1600_neutralino800,DAGMM_20_1e-07_1000_0.01_0.01_100_15_4,1,0.6707733799696299,0.010227801022780102,0.0030683403068340305,0.0013947001394700141
monotop_200_A,DAGMM_20_1e-07_1000_0.01_0.01_100_15_4,1,0.5509621896346676,0.02593295382669197,0.0031625553447185324,0.0006325110689437065
stlp_st1000,DAGMM_20_1e-07_1000_0.01_0.01_100_15_4,1,0.6061069256826643,0.29092136348295644,0.0330745865676679,0.005287433907076162
sqsq_sq1800_neut800,DAGMM_20_1e-07_1000_0.01_0.01_100_15_4,1,0.7884934800761916,0.003897944720056698,0.0003543586109142453,0.0
sqsq1_sq1400_neut800,DAGMM_20_1e-07_1000_0.01_0.01_100_15_4,1,0.5690388386452606,0.06373145220141085,0.008756993432254927,0.0031622476283142786
