Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
stop2b1000_neutralino300,Flow-Efficient_Likelihood,1,0.97,0.72,0.3,0.3
glgl1400_neutralino1100,Flow-Efficient_Likelihood,1,0.91,0.44,0.15,0.15
monojet_Zp2000.0_DM_50.0,Flow-Efficient_Likelihood,1,0.95,0.61,0.25,0.25
glgl1600_neutralino800,Flow-Efficient_Likelihood,1,0.96,0.61,0.2,0.2
monotop_200_A,Flow-Efficient_Likelihood,1,0.96,0.68,0.29,0.29
stlp_st1000,Flow-Efficient_Likelihood,1,0.99,0.88,0.51,0.51
sqsq_sq1800_neut800,Flow-Efficient_Likelihood,1,0.99,0.82,0.45,0.45
sqsq1_sq1400_neut800,Flow-Efficient_Likelihood,1,0.93,0.5,0.16,0.16
stop2b1000_neutralino300,Flow-Efficient-No-E_Likelihood,1,0.97,0.66,0.34,0.15
glgl1400_neutralino1100,Flow-Efficient-No-E_Likelihood,1,0.85,0.24,0.07,0.03
monojet_Zp2000.0_DM_50.0,Flow-Efficient-No-E_Likelihood,1,0.96,0.69,0.47,0.3
glgl1600_neutralino800,Flow-Efficient-No-E_Likelihood,1,0.94,0.44,0.14,0.04
monotop_200_A,Flow-Efficient-No-E_Likelihood,1,0.89,0.37,0.15,0.08
stlp_st1000,Flow-Efficient-No-E_Likelihood,1,0.97,0.6,0.28,0.13
sqsq_sq1800_neut800,Flow-Efficient-No-E_Likelihood,1,0.99,0.89,0.73,0.53
sqsq1_sq1400_neut800,Flow-Efficient-No-E_Likelihood,1,0.94,0.44,0.17,0.06
chaneut_cha250_neut150,Flow-Efficient_Likelihood,2a,0.67,0.03,0.0,0.0
chaneut_cha400_neut200,Flow-Efficient_Likelihood,2a,0.78,0.09,0.0,0.0
pp24mt_50,Flow-Efficient_Likelihood,2a,0.72,0.09,0.01,0.01
pp23mt_50,Flow-Efficient_Likelihood,2a,0.63,0.04,0.0,0.0
gluino_1000.0_neutralino_1.0,Flow-Efficient_Likelihood,2a,0.91,0.21,0.01,0.01
chaneut_cha200_neut50,Flow-Efficient_Likelihood,2a,0.64,0.03,0.0,0.0
chaneut_cha300_neut100,Flow-Efficient_Likelihood,2a,0.78,0.11,0.0,0.0
chaneut_cha250_neut150,Flow-Efficient-No-E_Likelihood,2a,0.77,0.04,0.0,0.0
chaneut_cha400_neut200,Flow-Efficient-No-E_Likelihood,2a,0.8,0.06,0.01,0.01
pp24mt_50,Flow-Efficient-No-E_Likelihood,2a,0.74,0.03,0.01,0.0
pp23mt_50,Flow-Efficient-No-E_Likelihood,2a,0.67,0.02,0.0,0.0
gluino_1000.0_neutralino_1.0,Flow-Efficient-No-E_Likelihood,2a,0.97,0.49,0.08,0.05
chaneut_cha200_neut50,Flow-Efficient-No-E_Likelihood,2a,0.77,0.02,0.0,0.0
chaneut_cha300_neut100,Flow-Efficient-No-E_Likelihood,2a,0.82,0.06,0.02,0.01
pp24mt_50,Flow-Efficient_Likelihood,2b,0.95,0.63,0.14,0.14
chaneut_cha200_neut50,Flow-Efficient_Likelihood,2b,0.97,0.66,0.1,0.1
stlp_st1000,Flow-Efficient_Likelihood,2b,1.0,1.0,0.54,0.54
chacha_cha600_neut200,Flow-Efficient_Likelihood,2b,0.99,0.82,0.11,0.11
pp23mt_50,Flow-Efficient_Likelihood,2b,0.95,0.62,0.08,0.08
chaneut_cha250_neut150,Flow-Efficient_Likelihood,2b,0.97,0.69,0.12,0.12
