Signal,Model,Chan,AUC,1e-2,1e-3,1e-4
sqsq_sq1800_neut800,VAE-static-beta1e-06-z5_RL,1,0.47,0.02,0.01,0.0
sqsq_sq1800_neut800,VAE-static-beta1e-06-z5_Radius,1,0.51,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1e-06-z5_RL,1,0.67,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1e-06-z5_Radius,1,0.57,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta1e-06-z8_RL,1,0.48,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta1e-06-z8_Radius,1,0.5,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1e-06-z8_RL,1,0.66,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1e-06-z8_Radius,1,0.59,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta1e-06-z13_RL,1,0.59,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta1e-06-z13_Radius,1,0.54,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1e-06-z13_RL,1,0.73,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1e-06-z13_Radius,1,0.59,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta1e-06-z21_RL,1,0.65,0.03,0.01,0.0
sqsq_sq1800_neut800,VAE-static-beta1e-06-z21_Radius,1,0.59,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1e-06-z21_RL,1,0.78,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1e-06-z21_Radius,1,0.63,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta1e-06-z34_RL,1,0.65,0.04,0.01,0.0
sqsq_sq1800_neut800,VAE-static-beta1e-06-z34_Radius,1,0.58,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1e-06-z34_RL,1,0.83,0.0,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta1e-06-z34_Radius,1,0.64,0.03,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.001-z5_RL,1,0.52,0.05,0.01,0.0
sqsq_sq1800_neut800,VAE-static-beta0.001-z5_Radius,1,0.49,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.001-z5_RL,1,0.65,0.0,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.001-z5_Radius,1,0.52,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.001-z8_RL,1,0.61,0.08,0.02,0.01
sqsq_sq1800_neut800,VAE-static-beta0.001-z8_Radius,1,0.48,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.001-z8_RL,1,0.67,0.01,0.0,0.0
sqsq_sq1800_neut800,VAE-dynamic-beta0.001-z8_Radius,1,0.55,0.02,0.0,0.0
sqsq_sq1800_neut800,VAE-static-beta0.001-z13_RL,1,0.59,0.01,0.0,0.0
